alive,alive_since,anonymity,average_timeout,first_seen,ip_data_as,ip_data_asname,ip_data_city,ip_data_continent,ip_data_continentCode,ip_data_country,ip_data_countryCode,ip_data_district,ip_data_hosting,ip_data_isp,ip_data_lat,ip_data_lon,ip_data_mobile,ip_data_org,ip_data_proxy,ip_data_regionName,ip_data_status,ip_data_timezone,ip_data_zip,ip_data_last_update,last_seen,port,protocol,proxy,ssl,timeout,times_alive,times_dead,uptime,ip
true,1732980449.4082,elite,3283.3351880785,1726082528.6202,"AS36666 GloboTech Communications",GTCOMM,Montreal,"North America",NA,Canada,CA,Ville-Marie,true,"GloboTech Communications",45.5049,-73.573,false,,true,Quebec,success,America/Toronto,H4X,1732389648,1732980693.5905,4729,http,http://72.10.160.171:4729,false,560.30583381653,252,28819,0.86684324584638,72.10.160.171
true,1732980678.3244,elite,1282.0325878661,1731550627.0284,"AS140292 CHINATELECOM Jiangsu province Suzhou 5G network",CHINATELECOM-JIANGSU-SUZHOU-5G-NETWORK,Nanjing,Asia,AS,China,CN,,false,"Jiangsu Network of ChinaTelecom",32.0607,118.763,false,,true,Jiangsu,success,Asia/Shanghai,210000,1732831972,1732980691.9844,8089,http,http://121.236.236.208:8089,false,808.23588371277,508,13733,3.567165227161,121.236.236.208
true,1732980332.4898,elite,1493.3300504817,1732823552.8942,"AS8615 ""Central Telegraph"" Public Joint-stock Company",CNT-AS,Lobnya,Europe,EU,Russia,RU,,false,CNT-network,56.0331,37.4822,false,,false,"Moscow Oblast",success,Europe/Moscow,141734,1732823553,1732980691.8651,8081,http,http://79.164.226.142:8081,false,176.33318901062,789,1522,34.141064474254,79.164.226.142
true,1732980105.7866,elite,2308.6259508133,1732973791.2222,"AS7552 Viettel Group",VIETEL-AS-AP,"Hải Dương",Asia,AS,Vietnam,VN,,false,"Viettel Corporation",20.9413,106.3373,false,"Viettel Group",false,"Hải Dương Province",success,Asia/Bangkok,170000,1732973795,1732980691.6454,12063,http,http://116.107.87.44:12063,false,1675.9412288666,50,49,50.505050505051,116.107.87.44
true,1732980351.548,elite,1308.3132602529,1721746915.06,"AS63150 BAGE CLOUD LLC",BAGE,"Hong Kong",Asia,AS,"Hong Kong",HK,,false,"Bage Cloud LLC",22.3193,114.169,false,"Bage Cloud LLC",true,Kowloon,success,Asia/Hong_Kong,999077,1732628619,1732980690.7494,80,http,http://213.218.255.99:80,false,473.12808036804,4947,1694,74.491793404608,213.218.255.99
true,1732980172.2705,elite,2423.2638099819,1722125406.1184,"AS36666 GloboTech Communications",GTCOMM,Montreal,"North America",NA,Canada,CA,Ville-Marie,true,"GloboTech Communications",45.5049,-73.573,false,,true,Quebec,success,America/Toronto,H4X,1732704113,1732980690.1225,3319,http,http://72.10.164.178:3319,false,1385.1943016052,515,69386,0.73675626958126,72.10.164.178
true,1732980678.8795,elite,3920.7574982828,1710638286.4317,"AS48574 T-Mobile Czech Republic a.s.",ASN-CZ-PLANET-A-48574,Prague,Europe,EU,Czechia,CZ,,false,PLANET,50.0554,14.4582,true,"Planet A, a.s.",true,Prague,success,Europe/Prague,"140 00",1732581815,1732980689.2004,4153,socks4,socks4://109.238.219.225:4153,true,1075.7026672363,3517,161159,2.1357089071874,109.238.219.225
true,1732980688.6013,elite,396.03540889007,1730745697.2416,"AS57511 Innovative Telecom Systems FZE",ITEL-AS-NUMBER,"Ras al-Khaimah",Asia,AS,"United Arab Emirates",AE,,false,ITEL,25.8009,55.9683,false,,true,"Imarat Ra's al Khaymah",success,Asia/Dubai,,1732562838,1732980688.6013,80,http,http://158.255.77.168:80,false,351.29308700562,21957,12876,63.035052967014,158.255.77.168
true,1732976305.7431,elite,675.53506055909,1726300923.7241,"AS16276 OVH SAS",OVH,Roubaix,Europe,EU,France,FR,,true,"OVH SAS",50.6918,3.2021,false,"OVH ISP",true,Hauts-de-France,success,Europe/Paris,59100,1732955059,1732980687.6831,80,http,http://87.98.148.98:80,false,89.073896408081,48955,12725,79.369325551232,87.98.148.98
true,1732980524.6638,elite,434.41696985374,1709241543.1911,"AS136395 Mahfujul Haque t/a Expert Online",EXPERT-AS-AP,Mātuail,Asia,AS,Bangladesh,BD,,false,"Mahfujul Haque t/a Expert Online",23.7121,90.4598,false,,true,"Dhaka Division",success,Asia/Dhaka,1362,1732907667,1732980687.4452,80,http,http://103.86.109.38:80,false,347.91326522827,224245,157824,58.692278096365,103.86.109.38
true,1732980686.3481,transparent,5306.3725573854,1710700932.0676,"AS10429 TELEFÔNICA BRASIL S.A","TELEFÔNICA BRASIL S.A",Araraquara,"South America",SA,Brazil,BR,,false,Vivo,-21.7944,-48.1756,false,"TELEF�NICA BRASIL S.A",true,"São Paulo",success,America/Sao_Paulo,14800,1732451725,1732980686.3481,3128,http,http://201.91.82.155:3128,false,1920.4177856445,180204,160790,52.846677654152,201.91.82.155
true,1732980221.5023,elite,395.26070830929,1730285241.1549,"AS57511 Innovative Telecom Systems FZE",ITEL-AS-NUMBER,"Ras al-Khaimah",Asia,AS,"United Arab Emirates",AE,,false,ITEL,25.8009,55.9683,false,,true,"Imarat Ra's al Khaymah",success,Asia/Dubai,,1732704617,1732980685.4153,80,http,http://158.255.77.166:80,false,352.53524780273,25966,15813,62.15084133177,158.255.77.166
true,1732980684.7637,transparent,5518.3589888071,1732616080.6256,"AS4808 China Unicom Beijing Province Network",CHINA169-BJ,Beijing,Asia,AS,China,CN,,false,"China Unicom Beijing Province Network",39.911,116.395,false,,false,Beijing,success,Asia/Shanghai,,1732616330,1732980684.7637,9000,http,http://221.217.52.151:9000,false,1742.5911426544,949,4598,17.108346854155,221.217.52.151
true,1732980684.6339,elite,757.4041645897,1696999963.7241,"AS46562 Performive LLC",PERFORMIVE,Atlanta,"North America",NA,"United States",US,Fairlie-Poplar,true,"Total Server Solutions L.L.C.",33.755,-84.3896,false,"ThePrimeHost - COLO@",true,Georgia,success,America/New_York,30303,1732909193,1732980684.6339,4145,socks4,socks4://74.119.144.60:4145,true,712.50081062317,124839,188266,39.87128918414,74.119.144.60
true,1732973179.3918,elite,1272.8711471625,1730760984.0365,"AS4134 CHINANET-BACKBONE",CHINANET-BACKBONE,Dongguan,Asia,AS,China,CN,,false,Chinanet,23.0177,113.7506,false,"Chinanet GD",true,Guangdong,success,Asia/Shanghai,,1732575450,1732980684.1209,8083,http,http://113.108.13.120:8083,false,923.72441291809,30980,3642,89.480677026168,113.108.13.120
true,1732980621.9552,elite,3270.9718910278,1722737620.7591,"AS36666 GloboTech Communications",GTCOMM,Montreal,"North America",NA,Canada,CA,Ville-Marie,true,"GloboTech Communications",45.5049,-73.573,false,,true,Quebec,success,America/Toronto,H4X,1732788711,1732980683.7852,5195,http,http://67.43.227.228:5195,false,1870.4419136047,442,42874,1.0204081632653,67.43.227.228
true,1732980149.3004,anonymous,2630.6101345899,1730729537.3748,"AS4230 CLARO S.A.","CLARO S.A.","Simões Filho","South America",SA,Brazil,BR,,false,"Claro S.A",-12.7844,-38.4039,true,"Telcabos - Telecomunicações e Informática",true,Bahia,success,America/Bahia,43700,1732544203,1732980683.2454,80,http,http://187.28.39.178:80,false,702.01110839844,12642,14615,46.380746230326,187.28.39.178
true,1732980668.9872,elite,1688.4211587701,1731707884.5158,"AS136258 BrainStorm Network, Inc",ONEPROVIDER-AS,Bogotá,"South America",SA,Colombia,CO,,true,"BrainStorm Network, Inc",4.6115,-74.0833,false,Oneprovider.com,true,"Bogota D.C.",success,America/Bogota,111411,1732914945,1732980682.5583,80,http,http://91.148.134.48:80,false,1507.0052146912,15116,4899,75.523357481889,91.148.134.48
true,1732980681.423,elite,3587.6898605386,1731028533.5921,"AS140292 CHINATELECOM Jiangsu province Suzhou 5G network",CHINATELECOM-JIANGSU-SUZHOU-5G-NETWORK,Nanjing,Asia,AS,China,CN,,false,"China Telecom",32.0607,118.763,false,"Chinanet JS",true,Jiangsu,success,Asia/Shanghai,210000,1732843122,1732980681.423,8089,http,http://114.216.205.202:8089,false,894.92583274841,1548,23047,6.2939621874365,114.216.205.202
true,1732980397.1262,elite,1231.9242974729,1720453310.0337,"AS4837 CHINA UNICOM China169 Backbone",CHINA169-Backbone,Suzhou,Asia,AS,China,CN,,false,"CNC Group CHINA169 Jiangsu Province Network",31.2983,120.583,false,,true,Jiangsu,success,Asia/Shanghai,215000,1732494983,1732980681.0359,9002,http,http://221.6.139.190:9002,false,802.01411247253,77326,15347,83.439621033095,221.6.139.190
true,1732980680.6248,elite,2323.6242263701,1696986733.4953,"AS22773 Cox Communications Inc.",ASN-CXA-ALL-CCI-22773-RDC,Roanoke,"North America",NA,"United States",US,,false,"Cox Communications Inc.",37.2613,-79.9335,false,"Cox Communications Inc.",true,Virginia,success,America/New_York,24023,1732659021,1732980680.6248,15291,socks4,socks4://184.178.172.25:15291,true,773.04315567017,96982,161613,37.503432007579,184.178.172.25
true,1732980680.5764,elite,4538.8296419154,1722715778.0783,"AS36666 GloboTech Communications",GTCOMM,Montreal,"North America",NA,Canada,CA,Ville-Marie,true,"GloboTech Communications",45.5049,-73.573,false,,true,Quebec,success,America/Toronto,H4X,1732479717,1732980680.5764,28625,socks4,socks4://67.43.236.20:28625,true,899.03283119202,183,39886,0.45671217150416,67.43.236.20
